Company,Website,Decision Maker,Role,Verified Public Business Email,LinkedIn
Avex,https://avexdesigns.com,John Surdakowski,Founder & CEO,newbusiness@avexdesigns.com,https://www.linkedin.com/in/jsurda
Eastside Co,https://eastsideco.com,Jason Stokes,Founder & CEO,info@eastsideco.com,https://www.linkedin.com/in/jason-paul-stokes/
Swanky,https://swankyagency.com,Dan Partridge,CEO,humans@swankyagency.com,https://www.linkedin.com/in/dan-partridge-236a6473/
Aeolidia,https://aeolidia.com,Arianne Foulks,Founder & CEO,hello@aeolidia.com,https://www.linkedin.com/in/ariannefoulks/
Bitovi,https://www.bitovi.com,Justin Meyer,Founder & CEO,contact@bitovi.com,https://www.linkedin.com/in/justinbmeyer/
Domaine,https://domaineworldwide.com,Peter Humphrey,Co-Founder & CEO,hello@domaineworldwide.com,https://www.linkedin.com/in/peter-humphrey-01a9364b/
Convert Digital,https://www.convertdigital.com.au,Andrew Waite,Founder & Managing Director,enquiries@convertdigital.com.au,https://au.linkedin.com/in/waiteandrew
Detroit Labs,https://www.detroitlabs.com,Paul Glomski,Co-Founder & CEO,hello@detroitlabs.com,https://www.linkedin.com/in/paulglomski/
Planet Argon,https://www.planetargon.com,Robby Russell,Co-Founder & CEO,hello@planetargon.com,https://www.linkedin.com/in/robbyrussell
Underwaterpistol,https://underwaterpistol.com,Gary Carruthers,Co-Founder & Group Strategy Director,info@underwaterpistol.com,https://uk.linkedin.com/in/gary-carruthers
Charle Agency,https://www.charleagency.com,Nic Dunn,Founder & CEO,hello@charleagency.com,https://www.linkedin.com/in/niccharlesdunn/
Railsware,https://railsware.com,Yaroslav Lazor,Co-Founder & CEO,contact@railsware.com,https://www.linkedin.com/in/ylazor/
Pearl Health,https://www.pearlhealth.com,Michael Kopko,Co-Founder & CEO,info@pearlhealth.com,https://www.linkedin.com/in/michaelkopko/
